id_documento,id_siniestro,tipo_documento,entregado,legible,fecha_emision,inconsistencia_detectada,observacion
DOC0000001,SIN000001,Denuncia,True,True,2024-10-19,False,
DOC0000002,SIN000001,Factura,True,True,2024-10-21,False,
DOC0000003,SIN000001,Informe,True,True,2024-10-23,False,
DOC0000004,SIN000002,Denuncia,True,True,2025-09-12,False,
DOC0000005,SIN000002,Factura,True,True,2025-09-10,False,
DOC0000006,SIN000002,Informe,True,True,2025-09-10,False,
DOC0000007,SIN000003,Denuncia,True,True,2025-02-10,False,
DOC0000008,SIN000003,Factura,True,True,2025-02-08,False,
DOC0000009,SIN000003,Informe,True,True,2025-02-08,False,
DOC0000010,SIN000004,Denuncia,True,True,2025-08-23,False,
DOC0000011,SIN000004,Factura,True,True,2025-08-20,False,
DOC0000012,SIN000004,Informe,True,True,2025-08-24,False,
DOC0000013,SIN000005,Denuncia,True,True,2024-04-17,False,
DOC0000014,SIN000005,Factura,True,True,2024-04-18,False,
DOC0000015,SIN000005,Informe,True,True,2024-04-16,False,
DOC0000016,SIN000006,Denuncia,True,True,2024-10-24,False,
DOC0000017,SIN000006,Factura,True,True,2024-10-23,False,
DOC0000018,SIN000006,Informe,True,True,2024-10-22,False,
DOC0000019,SIN000007,Denuncia,True,True,2024-06-06,False,
DOC0000020,SIN000007,Factura,True,True,2024-06-09,False,
DOC0000021,SIN000007,Informe,True,True,2024-06-07,False,
DOC0000022,SIN000008,Denuncia,True,True,2025-02-19,False,
DOC0000023,SIN000008,Factura,True,True,2025-02-20,False,
DOC0000024,SIN000008,Informe,True,True,2025-02-18,False,
DOC0000025,SIN000009,Denuncia,True,True,2024-01-30,False,
DOC0000026,SIN000009,Factura,True,True,2024-02-02,False,
DOC0000027,SIN000009,Informe,True,True,2024-02-02,False,
DOC0000028,SIN000010,Denuncia,True,True,2024-05-06,False,
DOC0000029,SIN000010,Factura,True,True,2024-05-05,False,
DOC0000030,SIN000010,Informe,True,True,2024-05-05,False,
DOC0000031,SIN000011,Denuncia,True,True,2025-03-02,False,
DOC0000032,SIN000011,Factura,True,True,2025-02-27,False,
DOC0000033,SIN000011,Informe,True,True,2025-02-28,False,
DOC0000034,SIN000012,Denuncia,True,True,2025-02-28,False,
DOC0000035,SIN000012,Factura,True,True,2025-02-28,False,
DOC0000036,SIN000012,Informe,True,True,2025-02-28,False,
DOC0000037,SIN000013,Denuncia,True,True,2024-07-26,False,
DOC0000038,SIN000013,Factura,True,True,2024-07-25,False,
DOC0000039,SIN000013,Informe,True,True,2024-07-24,False,
DOC0000040,SIN000014,Denuncia,True,True,2025-05-14,False,
DOC0000041,SIN000014,Factura,True,True,2025-05-12,False,
DOC0000042,SIN000014,Informe,True,True,2025-05-13,False,
DOC0000043,SIN000015,Denuncia,True,True,2025-06-02,False,
DOC0000044,SIN000015,Factura,True,True,2025-05-30,False,
DOC0000045,SIN000015,Informe,True,True,2025-06-02,False,
DOC0000046,SIN000016,Denuncia,True,True,2024-08-17,False,
DOC0000047,SIN000016,Factura,True,True,2024-08-21,False,
DOC0000048,SIN000016,Informe,True,True,2024-08-16,False,
