id_poliza,id_asegurado,ramo,fecha_inicio,fecha_fin,prima,suma_asegurada,deducible,canal_venta,ciudad,estado_poliza
POL00001,A00001,Vehículos,2024-10-01,2025-10-01,1824.07,30000,300.0,Digital,Quito,Vigente
POL00002,A00001,Vida,2024-05-17,2025-05-17,3716.04,50000,500.0,Agente,Quito,Vigente
POL00003,A00002,Generales,2024-05-19,2025-05-19,995.81,30000,300.0,Call Center,Guayaquil,Vigente
POL00004,A00002,Salud,2024-09-11,2025-09-11,1110.78,20000,200.0,Agente,Guayaquil,Vigente
POL00005,A00003,Generales,2024-03-26,2025-03-26,567.98,15000,150.0,Agente,Quito,Vigente
POL00006,A00003,Generales,2024-12-11,2025-12-11,1788.33,50000,500.0,Call Center,Quito,Vigente
POL00007,A00004,Vehículos,2024-01-07,2025-01-06,387.59,12000,120.0,Digital,Portoviejo,Vigente
POL00008,A00005,Vida,2024-05-04,2025-05-04,968.27,20000,200.0,Sucursal,Portoviejo,Vigente
POL00009,A00005,Hogar,2024-04-10,2025-04-10,3751.11,50000,500.0,Bróker,Portoviejo,Vigente
POL00010,A00006,Vehículos,2024-07-28,2025-07-28,333.2,8000,80.0,Digital,Quito,Vigente
POL00011,A00007,Vida,2024-06-16,2025-06-16,789.57,15000,150.0,Bróker,Cuenca,Vigente
POL00012,A00007,Vehículos,2024-04-13,2025-04-13,827.96,12000,120.0,Call Center,Cuenca,Vigente
POL00013,A00008,Generales,2024-10-11,2025-10-11,2875.3,50000,500.0,Agente,Loja,Vigente
POL00014,A00008,Vehículos,2024-03-12,2025-03-12,244.78,8000,80.0,Bróker,Loja,Vigente
POL00015,A00009,Vehículos,2024-11-13,2025-11-13,1268.68,30000,300.0,Digital,Quito,Vigente
POL00016,A00010,Vehículos,2024-05-03,2025-05-03,850.27,15000,150.0,Agente,Guayaquil,Vigente
POL00017,A00011,Vehículos,2024-03-16,2025-03-16,1957.04,30000,300.0,Bróker,Riobamba,Vigente
POL00018,A00011,Salud,2024-09-11,2025-09-11,558.7,12000,120.0,Agente,Riobamba,Vigente
POL00019,A00012,Vehículos,2024-06-12,2025-06-12,741.71,12000,120.0,Agente,Manta,Vigente
POL00020,A00013,Vehículos,2024-07-11,2025-07-11,799.19,12000,120.0,Call Center,Manta,Vigente
POL00021,A00014,Vehículos,2024-03-28,2025-03-28,2229.53,50000,500.0,Agente,Machala,Vigente
POL00022,A00015,Hogar,2024-12-17,2025-12-17,1172.71,20000,200.0,Bróker,Riobamba,Vigente
POL00023,A00015,Vehículos,2024-02-10,2025-02-09,1502.78,20000,200.0,Agente,Riobamba,Vigente
POL00024,A00016,Vida,2024-10-01,2025-10-01,1108.42,15000,150.0,Digital,Cuenca,Vigente
POL00025,A00017,Salud,2024-10-19,2025-10-19,1609.57,30000,300.0,Bróker,Machala,Vigente
POL00026,A00017,Vehículos,2024-03-14,2025-03-14,1812.98,30000,300.0,Sucursal,Machala,Vigente
POL00027,A00018,Vehículos,2024-12-29,2025-12-29,1505.08,30000,300.0,Call Center,Loja,Vigente
POL00028,A00019,Vehículos,2024-10-19,2025-10-19,874.27,12000,120.0,Bróker,Ambato,Vigente
POL00029,A00020,Hogar,2024-11-23,2025-11-23,1096.12,15000,150.0,Digital,Cuenca,Vigente
POL00030,A00020,Salud,2024-11-29,2025-11-29,591.27,15000,150.0,Call Center,Cuenca,Vigente
POL00031,A00021,Generales,2024-11-03,2025-11-03,1260.53,20000,200.0,Bróker,Riobamba,Vigente
POL00032,A00022,Salud,2024-05-31,2025-05-31,1130.18,15000,150.0,Sucursal,Ambato,Vigente
POL00033,A00023,Vida,2024-10-25,2025-10-25,3986.88,50000,500.0,Bróker,Quito,Vigente
POL00034,A00023,Vehículos,2024-12-31,2025-12-31,771.79,12000,120.0,Sucursal,Quito,Vigente
POL00035,A00024,Salud,2024-07-30,2025-07-30,588.34,8000,80.0,Bróker,Loja,Vigente
POL00036,A00024,Vehículos,2024-04-12,2025-04-12,756.89,15000,150.0,Call Center,Loja,Vigente
POL00037,A00025,Vehículos,2024-01-03,2025-01-02,3334.01,50000,500.0,Bróker,Riobamba,Vigente
POL00038,A00026,Vehículos,2024-11-23,2025-11-23,1028.44,15000,150.0,Call Center,Guayaquil,Vigente
POL00039,A00027,Generales,2024-04-13,2025-04-13,977.58,15000,150.0,Digital,Guayaquil,Vigente
POL00040,A00027,Vehículos,2024-10-07,2025-10-07,1510.36,20000,200.0,Sucursal,Guayaquil,Vigente
POL00041,A00028,Generales,2024-11-14,2025-11-14,1108.86,15000,150.0,Agente,Quito,Vigente
POL00042,A00028,Vehículos,2024-06-24,2025-06-24,428.3,12000,120.0,Sucursal,Quito,Vigente
POL00043,A00029,Vehículos,2024-05-07,2025-05-07,945.75,20000,200.0,Sucursal,Manta,Vigente
POL00044,A00030,Vehículos,2024-07-30,2025-07-30,462.85,8000,80.0,Agente,Cuenca,Vigente
POL00045,A00031,Vehículos,2024-07-20,2025-07-20,634.23,12000,120.0,Bróker,Riobamba,Vigente
POL00046,A00032,Salud,2024-09-19,2025-09-19,1082.31,15000,150.0,Call Center,Machala,Vigente
POL00047,A00032,Generales,2024-12-30,2025-12-30,3838.78,50000,500.0,Bróker,Machala,Vigente
POL00048,A00033,Vehículos,2024-12-31,2025-12-31,964.96,15000,150.0,Bróker,Riobamba,Vigente
POL00049,A00034,Vehículos,2024-12-22,2025-12-22,969.7,15000,150.0,Agente,Portoviejo,Vigente
POL00050,A00034,Vida,2024-03-20,2025-03-20,301.48,8000,80.0,Digital,Portoviejo,Vigente
POL00051,A00035,Vida,2024-11-16,2025-11-16,2164.71,30000,300.0,Digital,Portoviejo,Vigente
POL00052,A00036,Vida,2024-10-08,2025-10-08,504.66,15000,150.0,Digital,Ambato,Vigente
POL00053,A00036,Salud,2024-04-04,2025-04-04,1002.26,30000,300.0,Call Center,Ambato,Vigente
POL00054,A00037,Vehículos,2024-10-01,2025-10-01,691.95,20000,200.0,Bróker,Machala,Vigente
POL00055,A00038,Vehículos,2024-10-02,2025-10-02,911.0,30000,300.0,Agente,Ambato,Vigente
POL00056,A00039,Salud,2024-11-12,2025-11-12,542.38,8000,80.0,Call Center,Riobamba,Vigente
POL00057,A00040,Vida,2024-02-07,2025-02-06,1146.04,15000,150.0,Agente,Quito,Vigente
POL00058,A00041,Vida,2024-06-03,2025-06-03,1029.76,30000,300.0,Sucursal,Quito,Vigente
POL00059,A00041,Vehículos,2024-12-04,2025-12-04,429.6,8000,80.0,Call Center,Quito,Vigente
POL00060,A00042,Vehículos,2024-02-04,2025-02-03,523.65,15000,150.0,Call Center,Manta,Vigente
POL00061,A00043,Vehículos,2024-02-25,2025-02-24,747.33,12000,120.0,Agente,Riobamba,Vigente
POL00062,A00043,Hogar,2024-12-16,2025-12-16,814.32,12000,120.0,Bróker,Riobamba,Vigente
POL00063,A00044,Vehículos,2024-10-16,2025-10-16,1889.12,30000,300.0,Bróker,Loja,Vigente
POL00064,A00044,Vehículos,2024-09-03,2025-09-03,909.9,30000,300.0,Bróker,Loja,Vigente
POL00065,A00045,Hogar,2024-09-21,2025-09-21,1199.36,20000,200.0,Call Center,Machala,Vigente
POL00066,A00045,Salud,2024-12-04,2025-12-04,1160.44,15000,150.0,Bróker,Machala,Vigente
POL00067,A00046,Salud,2024-08-29,2025-08-29,770.57,20000,200.0,Sucursal,Guayaquil,Vigente
POL00068,A00046,Salud,2024-10-25,2025-10-25,733.93,12000,120.0,Call Center,Guayaquil,Vigente
POL00069,A00047,Vehículos,2024-12-17,2025-12-17,1141.76,15000,150.0,Call Center,Ambato,Vigente
POL00070,A00047,Vehículos,2024-04-29,2025-04-29,353.31,8000,80.0,Call Center,Ambato,Vigente
POL00071,A00048,Vida,2024-08-16,2025-08-16,3873.11,50000,500.0,Agente,Cuenca,Vigente
POL00072,A00049,Salud,2024-06-22,2025-06-22,1821.04,30000,300.0,Agente,Ambato,Vigente
POL00073,A00050,Vehículos,2024-11-21,2025-11-21,561.75,8000,80.0,Bróker,Quito,Vigente
POL00074,A00051,Vehículos,2024-07-21,2025-07-21,1186.08,20000,200.0,Call Center,Ambato,Vigente
POL00075,A00051,Vehículos,2024-08-23,2025-08-23,2193.03,30000,300.0,Sucursal,Ambato,Vigente
POL00076,A00052,Generales,2024-07-01,2025-07-01,827.36,12000,120.0,Agente,Ambato,Vigente
POL00077,A00053,Salud,2024-12-05,2025-12-05,1213.83,20000,200.0,Call Center,Quito,Vigente
POL00078,A00054,Generales,2024-07-09,2025-07-09,1373.13,30000,300.0,Call Center,Loja,Vigente
POL00079,A00055,Vehículos,2024-09-18,2025-09-18,748.41,15000,150.0,Call Center,Cuenca,Vigente
POL00080,A00055,Vehículos,2024-12-24,2025-12-24,723.81,15000,150.0,Sucursal,Cuenca,Vigente
POL00081,A00056,Vehículos,2024-06-20,2025-06-20,720.72,15000,150.0,Call Center,Riobamba,Vigente
POL00082,A00057,Vehículos,2024-08-15,2025-08-15,1010.92,15000,150.0,Call Center,Quito,Vigente
POL00083,A00057,Generales,2024-01-15,2025-01-14,505.42,8000,80.0,Digital,Quito,Vigente
POL00084,A00058,Vehículos,2024-10-03,2025-10-03,861.41,15000,150.0,Bróker,Quito,Vigente
