placa,chasis,motor,marca,modelo,anio,id_asegurado,id_poliza
HBP-4329,KX2EW4SDSF4H6DWMH,AJAL8ZTL0J,Kia,Rio,2023,A00001,POL00001
CCZ-1579,3RXS3XUE0H9DMRC2E,6VWXF6A0NV,Renault,Duster,2021,A00004,POL00007
IAV-7164,WGPS38DKUFCR306FG,9J2ED4JSVT,Chevrolet,Sail,2017,A00006,POL00010
CBC-8365,6X3HZP5W6THFLWCPX,KFSZ29DWTM,Kia,Rio,2012,A00007,POL00012
GZJ-7098,FTEBEN5JFYHC6DL42,8B14MZPMUU,Toyota,Hilux,2019,A00008,POL00014
JPO-1999,FU1J3NSB1Z78Z9X1U,MBXRBUD7ZR,Volkswagen,Gol,2014,A00009,POL00015
SZV-7363,ZMMSXZBZKN8WM8CFD,RRB7AYNJYM,Hyundai,Tucson,2024,A00010,POL00016
ZPZ-6978,E02GYWXJL48XMZRM1,WVJMA2CMXR,Kia,Rio,2022,A00011,POL00017
OAH-4435,SEZTGAD153L381Z1G,7RL5ECVBXT,Mazda,CX-5,2013,A00012,POL00019
ISS-8909,B4L4LDGYPN3TVWSGD,28KD0A4FV7,Kia,Rio,2015,A00013,POL00020
ZBH-7512,78TF1M010M5CT56TR,UDKGFZ3RD1,Volkswagen,Gol,2020,A00014,POL00021
BVO-3832,LPNJC4F4NKTXEF12X,U6A3H3KKGG,Toyota,Hilux,2021,A00015,POL00023
JIU-4892,D7U0BYWWU8GRJW5XU,3FN5P380D9,Chevrolet,Sail,2024,A00017,POL00026
CGZ-4288,DSC6D0NU0692HBS08,5M7ZZLTFVB,Chevrolet,Sail,2018,A00018,POL00027
HTJ-9409,BA7JMARTWU41Z6TP6,W2GA90VWG7,Hyundai,Tucson,2013,A00019,POL00028
PHZ-3785,MVG7JTMYFRZRW3Y0T,V6H7DE7N9H,Mazda,CX-5,2022,A00023,POL00034
CIZ-3954,F8YMXDA5UPLL8FJ44,2471ACN0AX,Volkswagen,Gol,2024,A00024,POL00036
HCB-7284,9WLECWV6Y4JY8ZNL2,BRRJPB9LH0,Mazda,CX-5,2023,A00025,POL00037
SAT-2771,BDH351HT7KPAW3GUJ,3G9HVHG8NN,Chevrolet,Sail,2024,A00026,POL00038
GAA-2458,H8KF9EGTR6VT6DGMC,V0X4HGCAJL,Mazda,CX-5,2017,A00027,POL00040
HZJ-8835,3LHJDLG375M1ZBJ78,H35CETXARY,Volkswagen,Gol,2020,A00028,POL00042
